,threads,size,nproma,repetition,execution_time
203,2,131072,16,15,13310
204,4,4096,16,19,212
205,8,65536,16,1,1823
206,1,65536,64,17,10861
207,1,65536,128,6,10810
208,16,131072,16,19,2761
209,1,16384,128,1,2705
210,1,16384,64,10,2724
211,2,32768,16,13,3334
212,1,131072,16,6,22547
213,4,262144,16,0,13464
214,4,65536,16,19,3365
215,8,32768,16,11,872
216,16,32768,16,14,472
217,1,4096,64,1,681
218,8,16384,16,2,443
219,2,4096,16,14,421
220,8,4096,16,0,112
221,4,4096,16,5,213
222,1,262144,128,12,43288
223,2,65536,16,13,6663
224,2,262144,16,11,26608
225,8,262144,16,8,7565
226,1,32768,128,6,5407
227,1,32768,64,17,5430
228,2,16384,16,14,1677
229,16,8192,16,18,123
230,1,262144,128,15,43225
231,2,262144,16,16,26638
232,2,65536,16,14,6657
233,32,4096,16,19,38
234,1,32768,64,10,5428
235,1,32768,128,1,5405
236,2,16384,16,13,1677
237,8,32768,16,16,871
238,1,4096,16,18,711
239,16,32768,16,13,471
240,2,4096,16,13,418
241,1,4096,64,6,681
242,8,16384,16,5,440
243,8,4096,16,7,113
244,4,4096,16,2,212
245,4,16384,16,19,846
246,16,262144,16,4,5466
247,16,8192,16,16,122
248,32,131072,16,5,1750
249,8,262144,16,1,7544
250,2,262144,16,18,26628
251,4,8192,16,15,425
252,2,8192,16,3,831
253,32,4096,16,17,37
254,16,262144,16,14,5497
255,1,262144,128,5,43178
256,1,131072,64,2,21718
257,8,32768,16,18,871
258,1,262144,64,14,43443
259,4,65536,16,10,3365
260,8,32768,16,4,871
261,1,4096,16,16,711
262,1,4096,64,8,681
263,8,4096,16,9,112
264,4,16384,16,17,848
265,1,262144,64,13,43384
266,1,131072,64,5,21759
267,1,262144,128,2,43236
268,4,65536,16,17,3364
269,8,32768,16,3,870
270,1,4096,16,11,712
271,4,16384,16,10,848
272,16,262144,16,3,5474
273,16,8192,16,11,122
274,8,262144,16,6,7541
275,32,131072,16,2,1686
276,4,8192,16,12,424
277,2,8192,16,4,838
278,32,4096,16,10,38
279,1,32768,64,19,5431
280,16,262144,16,13,5484
281,1,32768,128,8,5416
282,32,262144,16,7,3419
283,8,131072,16,3,3749
284,1,131072,128,11,21609
285,1,8192,128,8,1357
286,1,8192,64,19,1355
287,32,65536,16,8,571
288,16,131072,16,6,2768
289,32,262144,16,18,3422
290,4,8192,16,9,424
291,8,8192,16,12,219
292,8,131072,16,18,3744
293,1,16384,64,7,2722
294,1,32768,64,8,5425
295,1,262144,64,0,43450
296,1,65536,16,14,11265
297,2,4096,16,6,418
298,4,32768,16,3,1679
299,1,65536,16,9,11266
300,1,65536,128,12,10836
301,16,32768,16,0,538
302,2,65536,16,2,6662
303,1,16384,16,13,2824
304,1,16384,64,0,2724
305,1,262144,64,7,43506
306,32,32768,16,19,253
307,1,65536,16,13,11273
308,2,4096,16,1,419
309,4,32768,16,4,1681
310,16,16384,16,8,243
311,16,32768,16,7,471
312,1,65536,128,15,10804
313,2,65536,16,5,6666
314,4,262144,16,18,13463
315,1,16384,16,14,2823
316,8,131072,16,4,3750
317,32,262144,16,0,3454
318,1,131072,128,16,21621
319,16,131072,16,1,2779
320,8,8192,16,15,218
321,1,32768,64,1,5431
322,32,32768,16,17,252
323,1,262144,64,9,43458
324,16,16384,16,6,242
325,1,65536,16,0,11265
326,4,16384,16,5,845
327,16,32768,16,9,470
328,4,262144,16,16,13464
329,1,8192,128,1,1362
330,1,8192,64,10,1355
331,1,131072,128,18,21637
332,1,131072,16,13,22530
333,1,8192,64,4,1356
334,32,65536,16,1,575
335,8,8192,16,5,219
336,4,8192,16,0,424
337,32,262144,16,11,3350
338,8,131072,16,11,3754
339,32,262144,16,9,3429
340,1,8192,64,17,1354
341,1,8192,128,6,1360
342,1,131072,16,14,22533
