,threads,size,nproma,repetition,execution_time
0,1,131072,1,9,87
1,1,4096,1,14,12
2,1,65536,1,4,50
3,1,262144,1,0,166
4,1,4096,1,13,12
5,1,65536,1,3,51
6,1,4096,1,9,12
7,1,262144,1,7,166
8,1,32768,1,9,28
9,1,4096,1,7,12
10,1,262144,1,9,167
11,1,32768,1,7,29
12,1,131072,1,0,86
13,1,32768,1,0,29
14,1,131072,1,7,87
15,1,4096,1,0,12
16,1,262144,1,13,166
17,1,262144,1,14,172
18,1,8192,1,17,14
19,1,8192,1,9,14
20,1,16384,1,4,17
21,1,16384,1,14,17
22,1,8192,1,10,13
23,1,16384,1,13,18
24,1,16384,1,3,17
25,1,8192,1,0,14
26,1,32768,1,12,28
27,1,8192,1,19,14
28,1,8192,1,7,14
29,1,32768,1,15,29
30,1,131072,1,17,89
31,1,65536,1,19,52
32,1,131072,1,10,86
33,1,65536,1,10,53
34,1,131072,1,19,86
35,1,65536,1,17,52
36,1,262144,1,15,166
37,1,262144,1,12,166
38,1,32768,1,1,28
39,1,131072,1,6,89
40,1,4096,1,1,12
41,1,4096,1,6,12
42,1,262144,1,8,166
43,1,32768,1,6,29
44,1,131072,1,1,90
45,1,4096,1,12,12
46,1,65536,1,2,49
47,1,4096,1,8,12
48,1,262144,1,6,166
49,1,32768,1,8,28
50,1,131072,1,8,87
51,1,4096,1,15,12
52,1,65536,1,5,49
53,1,262144,1,1,166
54,1,131072,1,18,87
55,1,65536,1,16,50
56,1,65536,1,11,49
57,1,131072,1,11,89
58,1,131072,1,16,90
59,1,65536,1,18,50
60,1,8192,1,18,15
61,1,8192,1,6,13
62,1,32768,1,14,28
63,1,8192,1,1,14
64,1,32768,1,13,28
65,1,8192,1,11,14
66,1,16384,1,12,17
67,1,16384,1,2,18
68,1,8192,1,16,14
69,1,8192,1,8,14
70,1,16384,1,5,17
71,1,16384,1,15,17
72,1,65536,1,12,49
73,1,65536,1,15,49
74,1,131072,1,15,86
75,1,131072,1,12,90
76,1,8192,1,2,14
77,1,32768,1,10,28
78,1,8192,1,5,14
79,1,16384,1,8,17
80,1,16384,1,18,17
81,1,32768,1,17,28
82,1,8192,1,15,14
83,1,16384,1,16,17
84,1,16384,1,6,17
85,1,32768,1,19,30
86,1,8192,1,12,14
87,1,16384,1,1,17
88,1,16384,1,11,17
89,1,262144,1,18,166
90,1,262144,1,11,172
91,1,262144,1,16,170
92,1,4096,1,5,12
93,1,32768,1,5,28
94,1,131072,1,2,90
95,1,32768,1,2,28
96,1,131072,1,5,87
97,1,4096,1,18,12
98,1,4096,1,2,12
99,1,65536,1,8,49
100,1,4096,1,16,12
101,1,65536,1,6,50
102,1,262144,1,2,167
103,1,4096,1,11,12
104,1,65536,1,1,50
105,1,262144,1,5,166
106,1,8192,1,13,14
107,1,16384,1,0,17
108,1,16384,1,10,17
109,1,8192,1,14,14
110,1,16384,1,17,17
111,1,16384,1,7,17
112,1,32768,1,18,29
113,1,8192,1,4,14
114,1,16384,1,9,17
115,1,16384,1,19,17
116,1,32768,1,16,28
117,1,8192,1,3,14
118,1,32768,1,11,28
119,1,131072,1,13,87
120,1,131072,1,14,86
121,1,65536,1,14,50
122,1,65536,1,13,49
123,1,4096,1,10,12
124,1,65536,1,0,50
125,1,262144,1,4,170
126,1,4096,1,17,12
127,1,65536,1,7,50
128,1,262144,1,3,166
129,1,32768,1,3,28
130,1,131072,1,4,87
131,1,4096,1,19,12
132,1,4096,1,3,12
133,1,65536,1,9,50
134,1,4096,1,4,12
135,1,32768,1,4,29
136,1,131072,1,3,86
137,1,262144,1,17,166
138,1,262144,1,10,166
139,1,262144,1,19,167
