,type,threads,size,nproma,repetition,execution_time
169,openacc,1,8192,16,0,1025
170,openacc,1,8192,128,17,1240
171,openacc,1,32768,64,6,4553
172,openacc_hoist,1,4096,16,7,537
173,openacc,1,262144,128,10,41226
174,openacc,1,131072,64,13,18271
175,openacc,1,131072,128,2,20652
176,openacc,1,65536,16,7,8101
177,openacc,1,65536,128,4,10167
178,openacc,1,65536,64,15,9066
179,openacc_hoist,1,262144,64,6,42686
180,openacc,1,8192,64,19,1069
181,openacc_hoist,1,65536,16,12,8857
182,openacc,1,8192,128,8,1249
183,openacc,1,16384,64,12,2100
184,openacc,1,16384,128,3,2357
185,openacc_hoist,1,32768,128,15,6999
186,openacc,1,131072,16,4,16307
187,openacc_hoist,1,16384,16,15,2241
188,openacc,1,32768,128,13,5128
189,openacc,1,16384,64,7,2101
190,openacc,1,32768,64,8,4549
191,openacc,1,8192,128,19,1223
192,openacc_hoist,1,4096,16,9,537
193,openacc,1,65536,16,9,8159
194,openacc_hoist,1,4096,16,10,538
195,openacc,1,16384,64,0,2095
196,openacc,1,32768,128,14,5084
197,openacc,1,8192,16,9,1031
198,openacc,1,262144,128,19,41108
199,openacc_hoist,1,4096,16,17,536
200,openacc,1,65536,64,12,9085
201,openacc,1,65536,128,3,10176
202,openacc_hoist,1,262144,64,1,42695
203,openacc_hoist,1,65536,16,15,8855
204,openacc,1,16384,128,4,2368
205,openacc,1,16384,64,15,2099
206,openacc,1,131072,16,3,16325
207,openacc_hoist,1,32768,128,12,6996
208,openacc_hoist,1,16384,16,12,2241
209,openacc_hoist,1,131072,64,4,21458
210,openacc,1,4096,128,18,571
211,openacc,1,262144,16,13,32426
212,openacc,1,262144,16,6,32207
213,openacc,1,4096,16,16,499
214,openacc_hoist,1,262144,16,15,35483
215,openacc_hoist,1,16384,64,1,2469
216,openacc_hoist,1,32768,64,18,5242
217,openacc_hoist,1,32768,128,9,6996
218,openacc,1,131072,128,14,20622
219,openacc,1,4096,16,11,494
220,openacc_hoist,1,65536,16,8,8872
221,openacc_hoist,1,262144,16,12,35568
222,openacc_hoist,1,32768,64,9,5244
223,openacc,1,32768,16,18,4088
224,openacc_hoist,1,16384,64,6,2469
225,openacc,1,131072,128,13,20613
226,openacc_hoist,1,131072,64,3,21449
227,openacc_hoist,1,8192,128,9,1561
228,openacc_hoist,1,8192,64,18,1241
229,openacc,1,262144,16,14,32416
230,openacc,1,262144,16,1,32533
231,openacc_hoist,1,65536,16,6,8860
232,openacc,1,32768,16,16,4095
233,openacc_hoist,1,32768,64,7,5243
234,openacc_hoist,1,16384,64,8,2469
235,openacc_hoist,1,32768,64,11,5243
236,openacc_hoist,1,32768,128,0,6998
237,openacc_hoist,1,16384,128,15,3171
238,openacc,1,16384,128,13,2359
239,openacc,1,4096,128,11,567
240,openacc,1,4096,16,2,496
241,openacc_hoist,1,8192,16,5,1122
242,openacc_hoist,1,8192,64,16,1240
243,openacc_hoist,1,8192,128,7,1561
244,openacc,1,16384,128,14,2357
245,openacc,1,4096,128,16,577
246,openacc,1,4096,16,5,489
247,openacc_hoist,1,8192,16,2,1119
248,openacc_hoist,1,8192,128,0,1561
249,openacc_hoist,1,8192,64,11,1239
250,openacc,1,262144,16,8,32768
251,openacc,1,4096,16,18,492
252,openacc_hoist,1,65536,16,1,8856
253,openacc,1,32768,16,11,4080
254,openacc_hoist,1,32768,64,0,5241
255,openacc_hoist,1,32768,128,7,6994
256,openacc_hoist,1,32768,64,16,5242
257,openacc_hoist,1,16384,128,12,3173
258,openacc_hoist,1,16384,16,2,2242
259,openacc,1,131072,16,19,16284
260,openacc_hoist,1,65536,128,17,14284
261,openacc_hoist,1,4096,128,5,603
262,openacc_hoist,1,4096,64,14,554
263,openacc,1,262144,64,5,36367
264,openacc,1,65536,16,11,8144
265,openacc_hoist,1,131072,128,18,28204
266,openacc,1,65536,128,11,10158
267,openacc_hoist,1,65536,64,16,10590
268,openacc_hoist,1,65536,128,7,14284
269,openacc,1,16384,16,16,2028
270,openacc,1,4096,64,8,511
271,openacc_hoist,1,16384,128,0,3173
272,openacc_hoist,1,16384,64,11,2469
273,openacc_hoist,1,131072,16,7,17767
274,openacc,1,262144,64,2,36455
275,openacc,1,65536,16,16,8132
276,openacc,1,65536,128,16,10159
277,openacc_hoist,1,131072,16,18,17731
278,openacc_hoist,1,8192,64,8,1241
279,openacc_hoist,1,65536,128,0,14282
280,openacc_hoist,1,65536,64,11,10592
281,openacc,1,16384,16,11,2042
282,openacc_hoist,1,16384,64,16,2470
283,openacc_hoist,1,16384,128,7,3171
284,openacc_hoist,1,131072,16,0,17733
285,openacc_hoist,1,16384,16,5,2241
286,openacc_hoist,1,65536,128,10,14288
287,openacc_hoist,1,4096,64,13,554
288,openacc_hoist,1,4096,128,2,604
289,openacc,1,65536,16,18,8195
290,openacc_hoist,1,131072,128,11,28203
291,openacc_hoist,1,131072,16,16,17762
292,openacc,1,65536,128,18,10174
293,openacc,1,8192,16,14,1029
294,openacc_hoist,1,8192,64,6,1240
295,openacc,1,4096,64,1,509
296,openacc_hoist,1,16384,128,9,3173
297,openacc_hoist,1,16384,64,18,2472
298,openacc_hoist,1,8192,128,13,1561
299,openacc_hoist,1,32768,16,4,4425
300,openacc,1,131072,16,10,16267
301,openacc_hoist,1,65536,64,5,10585
302,openacc_hoist,1,8192,128,14,1563
303,openacc_hoist,1,32768,16,3,4427
304,openacc_hoist,1,65536,128,19,14277
305,openacc,1,131072,16,17,16382
306,openacc_hoist,1,65536,64,2,10590
307,openacc_hoist,1,131072,128,16,28204
308,openacc_hoist,1,131072,16,11,17766
309,openacc,1,8192,16,13,1018
310,openacc_hoist,1,65536,128,9,14291
311,openacc_hoist,1,65536,64,18,10590
312,openacc_hoist,1,8192,64,1,1239
313,openacc,1,4096,64,6,509
314,openacc,1,16384,16,18,2034
315,openacc_hoist,1,131072,16,9,17733
316,openacc,1,16384,64,1,2103
317,openacc,1,8192,16,8,1025
318,openacc,1,32768,128,15,5109
319,openacc,1,262144,128,18,41226
320,openacc_hoist,1,4096,16,16,537
321,openacc,1,65536,64,13,9097
322,openacc,1,65536,128,2,10170
323,openacc_hoist,1,65536,16,14,8855
324,openacc_hoist,1,262144,64,0,42702
325,openacc,1,131072,16,2,16273
326,openacc_hoist,1,32768,128,13,6994
327,openacc,1,16384,128,5,2364
328,openacc,1,16384,64,14,2098
329,openacc_hoist,1,16384,16,13,2241
330,openacc,1,65536,128,5,10170
331,openacc,1,65536,64,14,9099
332,openacc,1,8192,64,18,1066
333,openacc_hoist,1,65536,16,13,8855
334,openacc,1,8192,128,9,1228
335,openacc_hoist,1,262144,64,7,42697
336,openacc_hoist,1,32768,128,14,6995
337,openacc,1,131072,16,5,16165
338,openacc,1,16384,64,13,2102
339,openacc,1,16384,128,2,2362
340,openacc_hoist,1,16384,16,14,2240
341,openacc,1,32768,128,12,5094
342,openacc,1,16384,64,6,2099
343,openacc,1,32768,64,9,4550
344,openacc,1,8192,128,18,1266
345,openacc_hoist,1,4096,16,8,537
346,openacc,1,65536,16,8,8126
347,openacc_hoist,1,4096,16,11,537
348,openacc_hoist,1,131072,64,14,21431
349,openacc_hoist,1,131072,128,5,28212
350,openacc_hoist,1,262144,64,9,42704
351,openacc,1,8192,128,7,1257
352,openacc,1,8192,64,16,1066
353,openacc,1,16384,64,8,2099
354,openacc,1,8192,16,1,1025
355,openacc,1,8192,128,16,1239
356,openacc,1,32768,64,7,4546
357,openacc,1,262144,128,11,41106
358,openacc_hoist,1,4096,16,6,537
359,openacc,1,131072,64,12,18235
360,openacc,1,131072,128,3,20629
361,openacc,1,65536,16,6,8120
362,openacc,1,8192,16,6,1022
363,openacc,1,32768,64,0,4552
364,openacc,1,8192,128,11,1232
365,openacc_hoist,1,4096,16,1,537
366,openacc,1,262144,128,16,41175
367,openacc,1,131072,128,4,20661
368,openacc,1,131072,64,15,18238
369,openacc,1,65536,16,1,8155
370,openacc_hoist,1,4096,16,18,537
371,openacc_hoist,1,131072,128,2,28224
372,openacc_hoist,1,131072,64,13,21434
373,openacc,1,8192,64,11,1069
374,openacc,1,8192,128,0,1245
375,openacc_hoist,1,262144,128,14,56260
376,openacc,1,131072,64,1,18291
377,openacc_hoist,1,262144,16,3,35498
378,openacc,1,262144,64,11,36336
379,openacc,1,262144,128,0,41136
380,openacc,1,4096,64,14,509
381,openacc,1,4096,128,5,570
382,openacc_hoist,1,262144,64,17,42693
383,openacc_hoist,1,262144,128,6,56243
384,openacc,1,16384,16,2,2049
385,openacc,1,4096,128,2,564
386,openacc,1,4096,64,13,508
387,openacc_hoist,1,262144,128,1,56282
388,openacc_hoist,1,262144,64,10,42706
389,openacc,1,16384,16,5,2049
390,openacc_hoist,1,262144,128,13,56235
391,openacc,1,131072,64,6,18259
392,openacc_hoist,1,262144,16,4,35519
393,openacc,1,262144,128,7,41254
394,openacc,1,262144,64,16,36331
395,openacc,1,65536,64,5,9089
396,openacc_hoist,1,4096,64,5,556
397,openacc,1,32768,16,4,4097
398,openacc,1,32768,64,14,4559
399,openacc,1,32768,128,5,5135
400,openacc,1,8192,64,2,1069
401,openacc_hoist,1,32768,16,13,4429
402,openacc_hoist,1,4096,128,14,603
403,openacc,1,131072,64,8,18237
404,openacc_hoist,1,8192,16,14,1119
405,openacc,1,262144,64,18,36383
406,openacc,1,262144,128,9,41237
407,openacc_hoist,1,4096,128,13,604
408,openacc_hoist,1,8192,16,13,1120
409,openacc,1,65536,64,2,9073
410,openacc_hoist,1,262144,128,8,56232
411,openacc_hoist,1,262144,64,19,42703
412,openacc_hoist,1,4096,64,2,554
413,openacc,1,32768,16,3,4096
414,openacc,1,32768,128,2,5085
415,openacc,1,32768,64,13,4551
416,openacc,1,8192,64,5,1063
417,openacc_hoist,1,32768,16,14,4424
418,openacc,1,65536,64,17,9097
419,openacc,1,65536,128,6,10172
420,openacc_hoist,1,262144,64,4,42705
421,openacc_hoist,1,65536,16,10,8862
422,openacc_hoist,1,131072,64,19,21423
423,openacc_hoist,1,131072,128,8,28193
424,openacc,1,16384,128,1,2356
425,openacc,1,16384,64,10,2103
426,openacc,1,131072,16,6,16318
427,openacc_hoist,1,32768,128,17,7000
428,openacc_hoist,1,16384,16,17,2244
429,openacc,1,16384,64,5,2103
430,openacc,1,32768,128,11,5101
431,openacc_hoist,1,4096,16,12,537
432,openacc,1,32768,128,16,5089
433,openacc,1,16384,64,2,2096
434,openacc,1,131072,128,9,20618
435,openacc,1,131072,64,18,18242
436,openacc_hoist,1,4096,16,15,537
437,openacc,1,65536,128,1,10167
438,openacc,1,65536,64,10,9076
439,openacc_hoist,1,262144,64,3,42704
440,openacc_hoist,1,65536,16,17,8854
441,openacc,1,16384,64,17,2099
442,openacc,1,16384,128,6,2359
443,openacc_hoist,1,32768,128,10,6995
444,openacc,1,131072,16,1,16276
445,openacc_hoist,1,16384,16,10,2241
446,openacc,1,8192,128,12,1235
447,openacc,1,32768,64,3,4545
448,openacc,1,8192,16,5,1025
449,openacc,1,32768,128,18,5088
450,openacc,1,131072,64,16,18229
451,openacc,1,131072,128,7,20638
452,openacc_hoist,1,4096,16,2,537
453,openacc,1,262144,128,15,41128
454,openacc,1,65536,16,2,8115
455,openacc_hoist,1,65536,16,19,8855
456,openacc,1,8192,128,3,1237
457,openacc,1,8192,64,12,1066
458,openacc_hoist,1,131072,64,10,21437
459,openacc_hoist,1,131072,128,1,28206
460,openacc,1,16384,128,8,2357
461,openacc,1,16384,64,19,2102
462,openacc,1,65536,128,8,10155
463,openacc,1,65536,64,19,9104
464,openacc,1,8192,64,15,1068
465,openacc,1,8192,128,4,1243
466,openacc_hoist,1,131072,128,6,28195
467,openacc_hoist,1,131072,64,17,21427
468,openacc,1,131072,16,8,16386
469,openacc_hoist,1,32768,128,19,6991
470,openacc_hoist,1,16384,16,19,2245
471,openacc,1,32768,64,4,4546
472,openacc,1,8192,128,15,1240
473,openacc,1,8192,16,2,1026
474,openacc,1,131072,128,0,20705
475,openacc,1,131072,64,11,18254
476,openacc,1,262144,128,12,41176
477,openacc_hoist,1,4096,16,5,537
478,openacc,1,65536,16,5,8116
479,openacc,1,65536,64,8,9075
480,openacc_hoist,1,262144,64,13,42700
481,openacc_hoist,1,262144,128,2,56260
482,openacc,1,4096,64,10,510
483,openacc,1,4096,128,1,563
484,openacc_hoist,1,4096,64,8,554
485,openacc,1,16384,16,6,2050
486,openacc,1,32768,16,9,4087
487,openacc,1,32768,64,19,4547
488,openacc,1,32768,128,8,5076
489,openacc_hoist,1,4096,128,19,603
490,openacc,1,131072,64,5,18248
491,openacc_hoist,1,262144,128,10,56222
492,openacc_hoist,1,8192,16,19,1122
493,openacc_hoist,1,262144,16,7,35488
494,openacc,1,262144,64,15,36326
495,openacc,1,262144,128,4,41090
496,openacc,1,131072,64,2,18227
497,openacc_hoist,1,262144,128,17,56216
498,openacc_hoist,1,262144,16,0,35596
499,openacc,1,262144,128,3,41070
500,openacc,1,262144,64,12,36323
501,openacc_hoist,1,262144,128,5,56273
502,openacc_hoist,1,262144,64,14,42681
503,openacc,1,4096,128,6,564
504,openacc,1,4096,64,17,510
505,openacc,1,16384,16,1,2058
506,openacc,1,8192,64,8,1067
507,openacc_hoist,1,32768,16,19,4424
508,openacc_hoist,1,262144,128,19,56265
509,openacc_hoist,1,4096,128,10,604
510,openacc_hoist,1,8192,16,10,1121
511,openacc,1,65536,64,1,9112
512,openacc,1,4096,64,19,509
513,openacc,1,4096,128,8,573
514,openacc_hoist,1,4096,64,1,554
515,openacc,1,8192,64,6,1066
516,openacc,1,32768,64,10,4551
517,openacc,1,32768,128,1,5090
518,openacc,1,32768,16,0,4091
519,openacc_hoist,1,32768,16,17,4428
520,openacc,1,65536,64,6,9107
521,openacc_hoist,1,4096,64,6,554
522,openacc,1,16384,16,8,2047
523,openacc,1,8192,64,1,1066
524,openacc,1,32768,128,6,5104
525,openacc,1,32768,64,17,4553
526,openacc,1,32768,16,7,4097
527,openacc_hoist,1,32768,16,10,4446
528,openacc_hoist,1,4096,128,17,604
529,openacc_hoist,1,262144,16,9,35481
530,openacc_hoist,1,8192,16,17,1119
531,openacc_hoist,1,262144,16,11,35500
532,openacc,1,4096,16,12,494
533,openacc_hoist,1,16384,64,5,2469
534,openacc,1,131072,128,10,20630
535,openacc_hoist,1,16384,128,18,3176
536,openacc_hoist,1,131072,64,0,21432
537,openacc_hoist,1,8192,16,8,1121
538,openacc,1,262144,16,2,32382
539,openacc,1,262144,16,17,33009
540,openacc,1,16384,128,19,2363
541,openacc_hoist,1,131072,64,7,21441
542,openacc,1,4096,16,8,495
543,openacc,1,262144,16,5,32386
544,openacc,1,262144,16,10,32706
545,openacc_hoist,1,262144,16,16,35491
546,openacc,1,4096,16,15,494
547,openacc_hoist,1,16384,64,2,2469
548,openacc,1,131072,128,17,20628
549,openacc_hoist,1,131072,64,9,21432
550,openacc,1,4096,128,15,577
551,openacc,1,16384,128,17,2365
552,openacc,1,4096,16,6,489
553,openacc_hoist,1,8192,64,12,1240
554,openacc_hoist,1,8192,128,3,1560
555,openacc_hoist,1,8192,16,1,1119
556,openacc_hoist,1,65536,16,2,8852
557,openacc_hoist,1,262144,16,18,35492
558,openacc_hoist,1,32768,64,3,5243
559,openacc,1,32768,16,12,4057
560,openacc_hoist,1,16384,128,11,3173
561,openacc,1,131072,128,19,20612
562,openacc_hoist,1,32768,64,15,5240
563,openacc_hoist,1,32768,128,4,6996
564,openacc_hoist,1,65536,16,5,8852
565,openacc_hoist,1,32768,64,4,5243
566,openacc,1,32768,16,15,4124
567,openacc_hoist,1,16384,128,16,3172
568,openacc_hoist,1,32768,128,3,6994
569,openacc_hoist,1,32768,64,12,5243
570,openacc,1,4096,128,12,559
571,openacc,1,16384,128,10,2357
572,openacc,1,4096,16,1,491
573,openacc_hoist,1,8192,128,4,1562
574,openacc_hoist,1,8192,64,15,1239
575,openacc_hoist,1,8192,16,6,1121
576,openacc,1,262144,16,19,32597
577,openacc,1,65536,16,15,8192
578,openacc,1,262144,64,1,36422
579,openacc_hoist,1,65536,64,12,10594
580,openacc,1,8192,16,19,1024
581,openacc_hoist,1,65536,128,3,14275
582,openacc,1,65536,128,15,10168
583,openacc,1,16384,16,12,2039
584,openacc_hoist,1,131072,16,3,17740
585,openacc_hoist,1,16384,128,4,3172
586,openacc_hoist,1,16384,64,15,2469
587,openacc_hoist,1,32768,16,9,4430
588,openacc_hoist,1,16384,16,6,2242
589,openacc_hoist,1,65536,128,13,14289
590,openacc_hoist,1,4096,128,1,603
591,openacc_hoist,1,4096,64,10,554
592,openacc_hoist,1,65536,64,8,10588
593,openacc_hoist,1,8192,128,19,1563
594,openacc_hoist,1,16384,16,1,2241
595,openacc_hoist,1,65536,128,14,14280
596,openacc_hoist,1,4096,64,17,554
597,openacc_hoist,1,4096,128,6,603
598,openacc,1,65536,16,12,8193
599,openacc,1,262144,64,6,36429
600,openacc_hoist,1,65536,128,4,14272
601,openacc_hoist,1,65536,64,15,10590
602,openacc,1,65536,128,12,10154
603,openacc,1,16384,16,15,2049
604,openacc_hoist,1,131072,16,4,17750
605,openacc_hoist,1,16384,64,12,2472
606,openacc_hoist,1,16384,128,3,3171
607,openacc_hoist,1,8192,128,17,1564
608,openacc_hoist,1,32768,16,0,4427
609,openacc,1,131072,16,14,16366
610,openacc_hoist,1,4096,128,8,603
611,openacc_hoist,1,4096,64,19,554
612,openacc_hoist,1,65536,64,1,10586
613,openacc,1,262144,64,8,36347
614,openacc_hoist,1,131072,128,15,28203
615,openacc_hoist,1,8192,64,2,1240
616,openacc,1,8192,16,10,1025
617,openacc_hoist,1,131072,16,12,17763
618,openacc,1,4096,64,5,509
619,openacc_hoist,1,131072,128,12,28214
620,openacc_hoist,1,8192,64,5,1240
621,openacc,1,8192,16,17,1022
622,openacc_hoist,1,131072,16,15,17738
623,openacc,1,4096,64,2,510
624,openacc_hoist,1,8192,128,10,1560
625,openacc_hoist,1,32768,16,7,4424
626,openacc_hoist,1,16384,16,8,2242
627,openacc,1,131072,16,13,16403
628,openacc_hoist,1,65536,64,6,10587
629,openacc,1,65536,64,7,9088
630,openacc_hoist,1,4096,64,7,554
631,openacc,1,16384,16,9,2054
632,openacc,1,8192,64,0,1064
633,openacc,1,32768,16,6,4059
634,openacc,1,32768,128,7,5105
635,openacc,1,32768,64,16,4542
636,openacc_hoist,1,32768,16,11,4435
637,openacc_hoist,1,4096,128,16,603
638,openacc_hoist,1,8192,16,16,1121
639,openacc_hoist,1,262144,16,8,35502
640,openacc_hoist,1,4096,128,11,603
641,openacc_hoist,1,262144,128,18,56231
642,openacc_hoist,1,8192,16,11,1121
643,openacc,1,65536,64,0,9078
644,openacc,1,4096,64,18,510
645,openacc,1,4096,128,9,565
646,openacc_hoist,1,4096,64,0,554
647,openacc,1,8192,64,7,1062
648,openacc,1,32768,16,1,4098
649,openacc,1,32768,64,11,4554
650,openacc,1,32768,128,0,5106
651,openacc_hoist,1,32768,16,16,4426
652,openacc_hoist,1,262144,128,16,56252
653,openacc,1,131072,64,3,18239
654,openacc_hoist,1,262144,16,1,35486
655,openacc,1,262144,128,2,41101
656,openacc,1,262144,64,13,36350
657,openacc_hoist,1,262144,128,4,56291
658,openacc_hoist,1,262144,64,15,42684
659,openacc,1,4096,128,7,566
660,openacc,1,4096,64,16,509
661,openacc,1,16384,16,0,2046
662,openacc,1,8192,64,9,1067
663,openacc_hoist,1,32768,16,18,4426
664,openacc_hoist,1,262144,64,12,42693
665,openacc_hoist,1,262144,128,3,56236
666,openacc,1,65536,64,9,9082
667,openacc,1,4096,64,11,510
668,openacc,1,4096,128,0,562
669,openacc_hoist,1,4096,64,9,554
670,openacc,1,16384,16,7,2037
671,openacc,1,32768,64,18,4550
672,openacc,1,32768,128,9,5079
673,openacc,1,32768,16,8,4073
674,openacc_hoist,1,262144,128,11,56227
675,openacc,1,131072,64,4,18263
676,openacc_hoist,1,4096,128,18,603
677,openacc_hoist,1,262144,16,6,35489
678,openacc_hoist,1,8192,16,18,1120
679,openacc,1,262144,64,14,36374
680,openacc,1,262144,128,5,41147
681,openacc,1,65536,128,9,10148
682,openacc,1,65536,64,18,9095
683,openacc,1,8192,64,14,1079
684,openacc,1,8192,128,5,1248
685,openacc_hoist,1,131072,128,7,28205
686,openacc_hoist,1,131072,64,16,21434
687,openacc,1,131072,16,9,16296
688,openacc_hoist,1,32768,128,18,6998
689,openacc_hoist,1,16384,16,18,2242
690,openacc,1,32768,64,5,4550
691,openacc,1,8192,128,14,1274
692,openacc,1,8192,16,3,1025
693,openacc,1,131072,128,1,20698
694,openacc,1,131072,64,10,18224
695,openacc_hoist,1,4096,16,4,537
696,openacc,1,262144,128,13,41153
697,openacc,1,65536,16,4,8141
698,openacc,1,8192,128,13,1247
699,openacc,1,32768,64,2,4549
700,openacc,1,32768,128,19,5111
701,openacc,1,8192,16,4,1025
702,openacc,1,131072,64,17,18232
703,openacc,1,131072,128,6,20694
704,openacc,1,262144,128,14,41187
