,type,threads,size,nproma,repetition,execution_time
0,openacc_hoist,1,8192,128,15,1563
1,openacc_hoist,1,32768,16,2,4426
2,openacc,1,131072,16,16,16385
3,openacc_hoist,1,65536,128,18,14286
4,openacc_hoist,1,65536,64,3,10602
5,openacc_hoist,1,131072,128,17,28205
6,openacc_hoist,1,131072,16,10,17743
7,openacc_hoist,1,8192,64,0,1241
8,openacc,1,8192,16,12,1028
9,openacc_hoist,1,65536,128,8,14290
10,openacc_hoist,1,65536,64,19,10593
11,openacc,1,16384,16,19,2049
12,openacc,1,4096,64,7,508
13,openacc_hoist,1,131072,16,8,17732
14,openacc,1,65536,16,19,8140
15,openacc_hoist,1,131072,128,10,28215
16,openacc,1,65536,128,19,10165
17,openacc_hoist,1,131072,16,17,17734
18,openacc_hoist,1,8192,64,7,1240
19,openacc,1,8192,16,15,1025
20,openacc,1,4096,64,0,510
21,openacc_hoist,1,16384,128,8,3169
22,openacc_hoist,1,16384,64,19,2470
23,openacc_hoist,1,8192,128,12,1561
24,openacc_hoist,1,32768,16,5,4429
25,openacc,1,131072,16,11,16304
26,openacc_hoist,1,65536,64,4,10589
27,openacc,1,65536,16,17,8081
28,openacc,1,262144,64,3,36380
29,openacc_hoist,1,131072,16,19,17737
30,openacc,1,65536,128,17,10169
31,openacc_hoist,1,65536,128,1,14274
32,openacc_hoist,1,65536,64,10,10594
33,openacc_hoist,1,8192,64,9,1240
34,openacc,1,16384,16,10,2048
35,openacc_hoist,1,131072,16,1,17736
36,openacc_hoist,1,16384,64,17,2470
37,openacc_hoist,1,16384,128,6,3172
38,openacc_hoist,1,16384,16,4,2242
39,openacc_hoist,1,65536,128,11,14279
40,openacc_hoist,1,4096,64,12,554
41,openacc_hoist,1,4096,128,3,603
42,openacc_hoist,1,16384,16,3,2241
43,openacc_hoist,1,65536,128,16,14279
44,openacc,1,131072,16,18,16312
45,openacc_hoist,1,4096,128,4,604
46,openacc_hoist,1,4096,64,15,555
47,openacc,1,65536,16,10,8156
48,openacc_hoist,1,131072,128,19,28203
49,openacc,1,262144,64,4,36361
50,openacc,1,65536,128,10,10164
51,openacc_hoist,1,65536,64,17,10593
52,openacc_hoist,1,65536,128,6,14346
53,openacc,1,4096,64,9,511
54,openacc,1,16384,16,17,2047
55,openacc_hoist,1,131072,16,6,17734
56,openacc_hoist,1,16384,128,1,3171
57,openacc_hoist,1,16384,64,10,2470
58,openacc,1,4096,128,17,567
59,openacc,1,16384,128,15,2362
60,openacc,1,4096,16,4,496
61,openacc_hoist,1,8192,128,1,1561
62,openacc_hoist,1,8192,64,10,1239
63,openacc_hoist,1,8192,16,3,1120
64,openacc,1,262144,16,9,32556
65,openacc,1,4096,16,19,490
66,openacc_hoist,1,65536,16,0,8859
67,openacc_hoist,1,32768,64,1,5246
68,openacc,1,32768,16,10,4055
69,openacc_hoist,1,32768,128,6,6997
70,openacc_hoist,1,32768,64,17,5241
71,openacc_hoist,1,16384,128,13,3172
72,openacc_hoist,1,65536,16,7,8872
73,openacc_hoist,1,32768,64,6,5241
74,openacc,1,32768,16,17,4096
75,openacc_hoist,1,16384,64,9,2470
76,openacc_hoist,1,32768,64,10,5243
77,openacc_hoist,1,32768,128,1,6996
78,openacc_hoist,1,16384,128,14,3173
79,openacc,1,4096,128,10,568
80,openacc,1,16384,128,12,2362
81,openacc,1,4096,16,3,494
82,openacc_hoist,1,8192,64,17,1239
83,openacc_hoist,1,8192,128,6,1560
84,openacc_hoist,1,8192,16,4,1120
85,openacc,1,4096,16,10,492
86,openacc_hoist,1,262144,16,13,35487
87,openacc_hoist,1,65536,16,9,8852
88,openacc,1,32768,16,19,4083
89,openacc_hoist,1,32768,64,8,5242
90,openacc_hoist,1,16384,64,7,2469
91,openacc,1,131072,128,12,20634
92,openacc_hoist,1,131072,64,2,21441
93,openacc_hoist,1,8192,128,8,1561
94,openacc_hoist,1,8192,64,19,1238
95,openacc,1,262144,16,0,32678
96,openacc,1,262144,16,15,32440
97,openacc,1,4096,128,19,578
98,openacc_hoist,1,131072,64,5,21443
99,openacc,1,262144,16,7,32452
100,openacc,1,262144,16,12,32449
101,openacc,1,4096,16,17,496
102,openacc_hoist,1,262144,16,14,35485
103,openacc_hoist,1,16384,64,0,2469
104,openacc_hoist,1,32768,64,19,5246
105,openacc_hoist,1,32768,128,8,6998
106,openacc,1,131072,128,15,20637
107,openacc_hoist,1,4096,128,12,603
108,openacc_hoist,1,8192,16,12,1120
109,openacc_hoist,1,262144,128,9,56254
110,openacc_hoist,1,262144,64,18,42705
111,openacc,1,65536,64,3,9093
112,openacc_hoist,1,4096,64,3,554
113,openacc,1,32768,128,3,5176
114,openacc,1,32768,64,12,4547
115,openacc,1,32768,16,2,4085
116,openacc,1,8192,64,4,1058
117,openacc_hoist,1,32768,16,15,4428
118,openacc,1,65536,64,4,9105
119,openacc_hoist,1,4096,64,4,554
120,openacc,1,32768,64,15,4545
121,openacc,1,32768,128,4,5086
122,openacc,1,32768,16,5,4061
123,openacc,1,8192,64,3,1064
124,openacc_hoist,1,32768,16,12,4424
125,openacc,1,131072,64,9,18229
126,openacc_hoist,1,4096,128,15,604
127,openacc_hoist,1,8192,16,15,1121
128,openacc,1,262144,64,19,36351
129,openacc,1,262144,128,8,41120
130,openacc,1,4096,128,3,562
131,openacc,1,4096,64,12,510
132,openacc_hoist,1,262144,128,0,56234
133,openacc_hoist,1,262144,64,11,42709
134,openacc,1,16384,16,4,2029
135,openacc,1,131072,64,7,18234
136,openacc_hoist,1,262144,128,12,56277
137,openacc_hoist,1,262144,16,5,35560
138,openacc,1,262144,128,6,41110
139,openacc,1,262144,64,17,36418
140,openacc,1,131072,64,0,18260
141,openacc_hoist,1,262144,128,15,56253
142,openacc_hoist,1,262144,16,2,35522
143,openacc,1,262144,64,10,36304
144,openacc,1,262144,128,1,41220
145,openacc,1,4096,64,15,510
146,openacc,1,4096,128,4,567
147,openacc_hoist,1,262144,64,16,42695
148,openacc_hoist,1,262144,128,7,56268
149,openacc,1,16384,16,3,2035
150,openacc,1,8192,16,7,1026
151,openacc,1,32768,64,1,4556
152,openacc,1,8192,128,10,1248
153,openacc,1,262144,128,17,41171
154,openacc_hoist,1,4096,16,0,538
155,openacc,1,131072,128,5,20652
156,openacc,1,131072,64,14,18246
157,openacc,1,65536,16,0,8118
158,openacc_hoist,1,4096,16,19,537
159,openacc_hoist,1,131072,128,3,28209
160,openacc_hoist,1,131072,64,12,21431
161,openacc,1,8192,64,10,1062
162,openacc,1,8192,128,1,1238
163,openacc_hoist,1,131072,64,15,21445
164,openacc_hoist,1,131072,128,4,28207
165,openacc,1,8192,128,6,1227
166,openacc,1,8192,64,17,1075
167,openacc_hoist,1,262144,64,8,42681
168,openacc,1,16384,64,9,2096
